Compagnia,Tratta,Voli,Min,Max,Medio,Cancellazioni,Mesi
9E,FWA -> MSP,62,-19.0,349.0,6.44,0.0484,"1,2,3"
9E,GFK -> MSP,86,-18.0,496.0,20.15,0.0,"1,12,2,3,9"
9E,GRB -> MSP,58,-13.0,336.0,3.48,0.0,"1,4,5"
9E,GRR -> DTW,46,-16.0,199.0,3.31,0.0217,"1,11,2,3,4,5,6,7,8"
9E,GRR -> LGA,787,-15.0,420.0,3.92,0.047,"1,10,11,2,3,4,5,6,7,8,9"
9E,GRR -> MSP,104,-20.0,345.0,9.21,0.0,"10,11,12,4,5,6,7,8"
9E,GSO -> LGA,979,-17.0,891.0,5.15,0.0358,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,HPN -> ATL,920,-17.0,894.0,11.3,0.0141,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,HSV -> ATL,444,-22.0,256.0,5.64,0.018,"1,10,11,12,2,3,4,5,6,8"
9E,HSV -> DTW,145,-16.0,999.0,12.78,0.0069,"1,2,3,4,5,6,7"
9E,HSV -> OKC,1,-1.0,-1.0,-1.0,0.0,11
9E,ICT -> ATL,156,-28.0,210.0,5.9,0.0,"1,11,12,2,3"
9E,ITH -> JFK,727,-19.0,1098.0,8.04,0.0289,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,JAX -> JFK,465,-14.0,261.0,6.09,0.0387,"1,11,12,2,3,4,5,6,7,8,9"
9E,JFK -> AGS,2,-9.0,-4.0,-6.5,0.0,4
9E,JFK -> BGR,358,-25.0,824.0,16.73,0.0587,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,JFK -> BNA,169,-12.0,172.0,4.26,0.0296,"1,2,3,4,5,6"
9E,JFK -> BWI,500,-13.0,613.0,9.4,0.052,"1,10,2,3,4,5,6,7,8,9"
9E,JFK -> CHS,966,-21.0,793.0,5.98,0.0393,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,JFK -> CLT,1381,-18.0,414.0,8.32,0.0377,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,JFK -> DTW,786,-17.0,402.0,4.97,0.0051,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,JFK -> ITH,727,-21.0,1089.0,8.66,0.0344,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,JFK -> JAX,471,-16.0,910.0,9.28,0.051,"1,11,12,2,3,4,5,6,7,8,9"
9E,JFK -> MSP,238,-12.0,206.0,8.19,0.0126,"1,12,2,3,4,5,6"
9E,JFK -> ORF,785,-19.0,747.0,9.64,0.0459,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,JFK -> PIT,551,-21.0,396.0,5.16,0.0272,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,JFK -> RIC,556,-14.0,331.0,4.65,0.0324,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,JFK -> SDF,1,1.0,1.0,1.0,0.0,5
9E,LEX -> ATL,206,-21.0,176.0,5.31,0.0,"1,11,12,2,3,4,5"
9E,LEX -> DTW,9,-11.0,0.0,-6.11,0.0,"1,12"
9E,LGA -> AGS,11,-12.0,56.0,3.73,0.0,4
9E,LGA -> ALB,654,-22.0,382.0,6.81,0.0336,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> BDL,235,-17.0,233.0,12.73,0.0511,"1,10,2,3,4,5,6,7,8,9"
9E,LGA -> BGM,8,-21.0,95.0,8.14,0.125,1
9E,LGA -> BGR,904,-18.0,1010.0,8.7,0.0398,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> BHM,938,-24.0,377.0,6.06,0.0362,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> BNA,487,-14.0,194.0,5.5,0.0575,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> BUF,888,-23.0,506.0,5.91,0.0394,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> CAE,543,-18.0,278.0,7.4,0.0331,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> CHA,63,-15.0,98.0,4.4,0.0,"10,11,12"
9E,LGA -> CLE,1022,-18.0,329.0,5.5,0.0382,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> CMH,24,-12.0,62.0,-2.71,0.0,"10,11,12,3,4"
9E,LGA -> CVG,1558,-19.0,388.0,9.42,0.0263,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> GSP,970,-18.0,904.0,9.6,0.0289,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> ILM,765,-19.0,345.0,6.69,0.0327,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> LIT,200,-19.0,295.0,16.05,0.02,"10,11,12,2,3,6,7,8,9"
9E,LGA -> MEM,598,-19.0,758.0,8.78,0.0401,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> OMA,235,-17.0,295.0,11.99,0.0638,"1,10,2,3,4,5,6,7,8,9"
9E,LGA -> ORF,689,-17.0,808.0,6.67,0.0348,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> ORH,299,-19.0,987.0,8.45,0.0435,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> PNS,231,-15.0,182.0,6.81,0.013,"1,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> PVD,409,-20.0,325.0,6.33,0.0244,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> PWM,496,-23.0,422.0,4.41,0.0343,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> RDU,2060,-20.0,337.0,6.6,0.0306,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> ROA,326,-19.0,624.0,10.45,0.0399,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> ROC,938,-22.0,660.0,8.14,0.0416,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> SAV,896,-18.0,516.0,6.31,0.0379,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> SDF,23,-16.0,54.0,-1.52,0.0,"12,5,6"
9E,LGA -> SYR,551,-18.0,248.0,2.33,0.0091,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> TYS,941,-22.0,281.0,2.81,0.034,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,MCI -> BHM,1,-10.0,-10.0,-10.0,0.0,10
9E,MCI -> DTW,49,-12.0,176.0,0.1,0.0,"1,2,3,4,5"
9E,MCI -> JFK,448,-20.0,775.0,11.16,0.0313,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,MCI -> LGA,733,-27.0,1067.0,14.44,0.0518,"1,2,3,4,5,6,7,8,9"
9E,MCI -> MSP,10,-13.0,34.0,-0.9,0.0,"10,11"
9E,MDT -> DTW,60,-14.0,199.0,3.75,0.0,"1,2,3,4,5,6"
9E,MDT -> MSP,2,-14.0,6.0,-4.0,0.0,11
9E,MEM -> DTW,279,-14.0,225.0,2.64,0.0108,"1,10,11,12,2,4,6,7,8,9"
9E,MEM -> MSP,180,-11.0,223.0,7.63,0.0167,"1,11,12,3,4,6,7,8"
9E,MKE -> DTW,10,-15.0,124.0,5.4,0.0,"1,10,11,4,5,9"
9E,MKE -> JFK,113,-17.0,1102.0,14.68,0.0177,"2,3,4,5,6"
9E,MKE -> LGA,675,-23.0,953.0,15.89,0.0281,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,MLU -> ATL,869,-23.0,795.0,10.67,0.0081,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,MOB -> ATL,770,-19.0,1132.0,4.39,0.0091,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,MQT -> DTW,121,-23.0,116.0,-1.82,0.0248,"1,2,3,5,6"
9E,MSN -> ATL,32,-10.0,124.0,5.68,0.0313,"1,11,12"
9E,MSN -> DTW,130,-16.0,264.0,6.09,0.0154,"1,10,12,6,7,8,9"
9E,MSP -> BIS,10,-10.0,16.0,-0.4,0.0,"7,8,9"
9E,MSP -> CLT,19,-8.0,10.0,-1.95,0.0,"10,11,12,6,7"
9E,MSP -> CMH,179,-10.0,149.0,0.61,0.0,"1,11,12,3,4,5,6,8,9"
9E,MSP -> DSM,1018,-20.0,408.0,5.72,0.0098,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,MSP -> GFK,86,-22.0,563.0,15.16,0.0,"1,12,2,3,9"
9E,MSP -> GRR,104,-13.0,250.0,4.52,0.0,"10,11,12,4,5,6,7,8"
9E,MSP -> IAD,56,-10.0,70.0,-1.46,0.0,"1,10,11,9"
9E,MSP -> JFK,238,-13.0,244.0,4.97,0.0168,"1,12,2,3,4,5,6"
9E,MSP -> OMA,190,-11.0,240.0,2.68,0.0158,"10,11,12,6,7,8,9"
9E,MSP -> ORF,183,-10.0,174.0,5.99,0.0055,"10,11,12,6,7,8,9"
9E,MSP -> PIT,236,-14.0,152.0,3.71,0.0,"1,10,11,12,2,3,4,5,6,9"
9E,MSP -> RAP,198,-15.0,582.0,8.28,0.0,"11,12,6,7,8"
9E,MSP -> RDU,11,-13.0,124.0,19.0,0.0,"1,2,3,4"
9E,MSP -> SBN,1,-3.0,-3.0,-3.0,0.0,1
9E,MSP -> SDF,78,-10.0,143.0,5.86,0.0256,"1,12,5,6,7,8,9"
9E,MSP -> TYS,203,-12.0,105.0,4.63,0.0148,"10,11,12,6,7,8,9"
9E,MSP -> XNA,432,-13.0,163.0,3.15,0.0046,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,MYR -> LGA,547,-30.0,1015.0,6.76,0.0238,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,OAJ -> ATL,548,-17.0,1170.0,7.9,0.0,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,OKC -> ATL,2,-10.0,-6.0,-8.0,0.0,"10,11"
9E,OKC -> HSV,1,-11.0,-11.0,-11.0,0.0,11
9E,OMA -> DTW,71,-15.0,71.0,-4.73,0.0,"1,10,11,2,3"
9E,ORD -> DTW,8,-8.0,75.0,10.0,0.0,"1,11,6,7"
9E,ORD -> JFK,60,-9.0,267.0,14.53,0.0167,"3,4"
9E,ORD -> MSP,11,-14.0,8.0,-2.64,0.0,"1,10,11"
9E,ORF -> DTW,541,-17.0,402.0,7.48,0.0018,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ORF -> JFK,784,-37.0,519.0,12.11,0.0421,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ORF -> MSP,183,-24.0,1042.0,19.71,0.0055,"10,11,12,6,7,8,9"
9E,ORH -> LGA,299,-20.0,1021.0,16.1,0.0502,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,PHL -> DTW,150,-14.0,377.0,6.35,0.0,"1,11,12,2,3"
9E,PIT -> JFK,549,-17.0,1018.0,14.91,0.0328,"1,10,11,12,2,3,4,5,6,7,8,9"
