Compagnia,Tratta,Voli,Min,Max,Medio,Cancellazioni,Mesi
9E,MSP -> SBN,2,-3.0,-3.0,-3.0,0.0,1
9E,MSP -> SDF,156,-10.0,143.0,5.86,0.0256,"1,12,5,6,7,8,9"
9E,MSP -> TYS,406,-12.0,105.0,4.63,0.0148,"10,11,12,6,7,8,9"
9E,MSP -> XNA,864,-13.0,163.0,3.15,0.0046,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,MYR -> LGA,1094,-30.0,1015.0,6.76,0.0238,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,OAJ -> ATL,1096,-17.0,1170.0,7.9,0.0,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,OKC -> ATL,4,-10.0,-6.0,-8.0,0.0,"10,11"
9E,OKC -> HSV,2,-11.0,-11.0,-11.0,0.0,11
9E,OMA -> DTW,142,-15.0,71.0,-4.73,0.0,"1,10,11,2,3"
9E,ORD -> DTW,16,-8.0,75.0,10.0,0.0,"1,11,6,7"
9E,ORD -> JFK,120,-9.0,267.0,14.53,0.0167,"3,4"
9E,ORD -> MSP,22,-14.0,8.0,-2.64,0.0,"1,10,11"
9E,ORF -> DTW,1082,-17.0,402.0,7.48,0.0018,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ORF -> JFK,1568,-37.0,519.0,12.11,0.0421,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ORF -> MSP,366,-24.0,1042.0,19.71,0.0055,"10,11,12,6,7,8,9"
9E,ORH -> LGA,598,-20.0,1021.0,16.1,0.0502,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,PHL -> DTW,300,-14.0,377.0,6.35,0.0,"1,11,12,2,3"
9E,PIT -> JFK,1098,-17.0,1018.0,14.91,0.0328,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,PIT -> LGA,1262,-29.0,960.0,19.86,0.0412,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,PIT -> MSP,472,-15.0,924.0,7.69,0.0,"1,10,11,12,2,3,4,5,6,9"
