Compagnia,Tratta,Voli,Min,Max,Medio,Cancellazioni,Mesi
9E,MKE -> LGA,379,-23.0,953.0,24.18,0.0237,"1,2,3,4,5,6,7"
9E,MLU -> ATL,387,-22.0,795.0,10.74,0.0052,"1,2,3,4,5,6,7"
9E,MOB -> ATL,334,-16.0,366.0,1.48,0.003,"1,2,3,4,5,6,7"
9E,MQT -> DTW,121,-23.0,116.0,-1.82,0.0248,"1,2,3,5,6"
9E,MSN -> ATL,10,-5.0,124.0,9.2,0.0,1
9E,MSN -> DTW,64,-16.0,264.0,15.42,0.0,"1,6,7"
9E,MSP -> CLT,2,-4.0,-3.0,-3.5,0.0,"6,7"
9E,MSP -> CMH,122,-10.0,116.0,-0.09,0.0,"1,3,4,5,6"
9E,MSP -> DSM,516,-13.0,408.0,7.05,0.0078,"1,2,3,4,5,6,7"
9E,MSP -> GFK,49,-17.0,154.0,5.57,0.0,"1,2,3"
9E,MSP -> GRR,58,-13.0,39.0,-2.34,0.0,"4,5,6"
9E,MSP -> IAD,1,-10.0,-10.0,-10.0,0.0,1
9E,MSP -> JFK,236,-13.0,244.0,5.04,0.0169,"1,2,3,4,5,6"
9E,MSP -> OMA,26,-9.0,110.0,3.77,0.0,"6,7"
9E,MSP -> ORF,24,-10.0,108.0,12.08,0.0,"6,7"
9E,MSP -> PIT,206,-14.0,152.0,4.17,0.0,"1,2,3,4,5,6"
9E,MSP -> RAP,22,-5.0,118.0,19.5,0.0,"6,7"
9E,MSP -> RDU,11,-13.0,124.0,19.0,0.0,"1,2,3,4"
9E,MSP -> SBN,1,-3.0,-3.0,-3.0,0.0,1
9E,MSP -> SDF,27,-10.0,143.0,8.22,0.0,"1,5,6"
9E,MSP -> TYS,26,-9.0,105.0,21.62,0.0,"6,7"
9E,MSP -> XNA,161,-10.0,144.0,4.19,0.0,"1,2,3,4,5,6,7"
9E,MYR -> LGA,276,-22.0,1015.0,8.29,0.0181,"1,2,3,4,5,6,7"
9E,OAJ -> ATL,190,-17.0,1170.0,10.84,0.0,"1,2,3,4,5,6,7"
9E,OMA -> DTW,46,-15.0,1.0,-6.93,0.0,"1,2,3"
9E,ORD -> DTW,4,-5.0,75.0,17.5,0.0,"1,6,7"
9E,ORD -> JFK,60,-9.0,267.0,14.53,0.0167,"3,4"
9E,ORD -> MSP,6,-6.0,3.0,-2.5,0.0,1
9E,ORF -> DTW,348,-14.0,402.0,9.88,0.0029,"1,2,3,4,5,6,7"
9E,ORF -> JFK,354,-16.0,513.0,10.12,0.0254,"1,2,3,4,5,6,7"
9E,ORF -> MSP,24,-9.0,125.0,17.33,0.0,"6,7"
9E,ORH -> LGA,153,-16.0,932.0,6.65,0.0654,"1,2,3,4,5,6,7"
9E,PHL -> DTW,105,-14.0,179.0,5.53,0.0,"1,2,3"
9E,PIT -> JFK,236,-17.0,1018.0,15.93,0.0254,"1,2,3,4,5,6,7"
9E,PIT -> LGA,385,-29.0,947.0,13.04,0.026,"1,2,3,4,5,6,7"
9E,PIT -> MSP,206,-15.0,924.0,8.01,0.0,"1,2,3,4,5,6"
9E,PNS -> ATL,17,-6.0,352.0,20.24,0.0,"1,2,3"
9E,PVD -> LGA,261,-18.0,683.0,5.44,0.0421,"1,2,3,4,5,6,7"
9E,PWM -> JFK,242,-12.0,1123.0,22.17,0.0207,"1,2,3,4,5,6,7"
9E,RDU -> AUS,141,-13.0,118.0,5.26,0.0071,"1,2,3,4"
9E,RDU -> EWR,409,-12.0,421.0,13.26,0.0269,"1,2,3,4,5,6,7"
9E,RDU -> JFK,814,-13.0,950.0,13.29,0.0283,"1,2,3,4,5,6,7"
9E,RDU -> LGA,1019,-19.0,1042.0,16.38,0.0255,"1,2,3,4,5,6,7"
9E,RDU -> MSP,11,-14.0,52.0,-0.36,0.0,"1,2,3,4"
